1988
"{'ACC': 0.7814070351758794, 'macro_f_score': 0.7806225590410799, 'AUC': 0.8571268402313073}"
"{'ACC': 0.7691919191919192, 'macro_f_score': 0.7654830410229735, 'AUC': 0.8636652572636632}"
"{'ACC': 0.750761421319797, 'macro_f_score': 0.7430629766252574, 'AUC': 0.8626343099581091}"
"{'ACC': 0.7270408163265306, 'macro_f_score': 0.7133060601346417, 'AUC': 0.8516528779301066}"
"{'ACC': 0.7517948717948718, 'macro_f_score': 0.7458596503321757, 'AUC': 0.8494681477989274}"
"{'ACC': 0.6072164948453608, 'macro_f_score': 0.6020047836533025, 'AUC': 0.655464173182712}"
"{'ACC': 0.627979274611399, 'macro_f_score': 0.5913255098477771, 'AUC': 0.7153131233234749}"
"{'ACC': 0.61875, 'macro_f_score': 0.6033769848929706, 'AUC': 0.67542277878198}"
"{'ACC': 0.6821989528795811, 'macro_f_score': 0.6799247083040346, 'AUC': 0.791289399035717}"
"{'ACC': 0.6936842105263158, 'macro_f_score': 0.6926161153882077, 'AUC': 0.7563081539882093}"
"{'ACC': 0.6867724867724868, 'macro_f_score': 0.6842778923416055, 'AUC': 0.746372835791087}"
"{'ACC': 0.5925531914893617, 'macro_f_score': 0.5618056984003146, 'AUC': 0.7276566245854563}"
"{'ACC': 0.6288770053475936, 'macro_f_score': 0.560410750287238, 'AUC': 0.7882933264504287}"
"{'ACC': 0.6553763440860215, 'macro_f_score': 0.6533844770459448, 'AUC': 0.7144}"
"{'ACC': 0.6432432432432432, 'macro_f_score': 0.635941435768262, 'AUC': 0.7532443296851618}"
"{'ACC': 0.5559782608695653, 'macro_f_score': 0.5001355002286046, 'AUC': 0.7177938077002998}"
"{'ACC': 0.6978142076502732, 'macro_f_score': 0.6895259056683252, 'AUC': 0.7614550109518503}"
"{'ACC': 0.6197802197802198, 'macro_f_score': 0.591100998806523, 'AUC': 0.6814274553829069}"
"{'ACC': 0.6651933701657459, 'macro_f_score': 0.6145639624368009, 'AUC': 0.7681276124907794}"
"{'ACC': 0.6622222222222223, 'macro_f_score': 0.6183967362878762, 'AUC': 0.7466226978596316}"
"{'ACC': 0.6871508379888268, 'macro_f_score': 0.6347492508424378, 'AUC': 0.8239717167798744}"
"{'ACC': 0.6825842696629213, 'macro_f_score': 0.6254899222641158, 'AUC': 0.8026840810580237}"
"{'ACC': 0.6903954802259887, 'macro_f_score': 0.664470762090966, 'AUC': 0.7658889782783589}"
"{'ACC': 0.6818181818181818, 'macro_f_score': 0.6626044091469259, 'AUC': 0.7334707474113882}"
"{'ACC': 0.6577142857142857, 'macro_f_score': 0.616931954763437, 'AUC': 0.7354320968032466}"
"{'ACC': 0.6385057471264368, 'macro_f_score': 0.6374249438890868, 'AUC': 0.6854446108346887}"
"{'ACC': 0.7329479768786127, 'macro_f_score': 0.725116899089157, 'AUC': 0.7955670848371528}"
"{'ACC': 0.7244186046511628, 'macro_f_score': 0.7188530661733974, 'AUC': 0.7811384518773135}"
"{'ACC': 0.723391812865497, 'macro_f_score': 0.7208554455500218, 'AUC': 0.7963759659623888}"
"{'ACC': 0.7388235294117647, 'macro_f_score': 0.7253898678029442, 'AUC': 0.7967065936056517}"
